unit,year,len,wt,sex,age
MN-1,2000,310,240,F,9
MN-1,2000,363,330,F,10
MN-1,2000,373,370,M,17
MN-1,2000,381,490,M,10
MN-1,2000,394,470,M,11
MN-1,2000,394,490,M,14
MN-1,2000,396,460,F,11
MN-1,2000,401,490,M,15
MN-1,2000,406,540,M,13
MN-1,2000,409,650,F,15
MN-1,2000,411,570,M,14
MN-1,2000,411,610,F,13
MN-1,2000,424,600,F,12
MN-1,2000,442,690,M,11
MN-1,2000,442,750,M,11
MN-1,2000,457,670,F,15
MN-1,2000,467,810,F,17
MN-1,2000,470,970,F,20
MN-1,2000,472,920,F,14
MN-1,2000,475,840,F,12
MN-1,2000,475,880,M,17
MN-1,2000,475,910,M,13
MN-1,2000,478,870,F,12
MN-1,2000,478,960,M,17
MN-1,2000,478,960,M,14
MN-1,2000,495,810,M,14
MN-1,2000,498,1200,F,12
MN-1,2000,505,1030,F,12
MN-1,2000,511,1200,M,18
MN-1,2000,516,1150,M,11
MN-1,2000,516,1200,F,12
MN-1,2000,521,1210,M,17
MN-1,2000,526,1120,F,17
MN-1,2000,528,1210,F,13
MN-1,2000,541,1170,M,20
MN-1,2000,559,1390,F,15
MN-1,2000,561,1200,M,18
MN-1,2000,564,1440,F,13
MN-1,2000,569,1550,M,13
MN-1,2000,572,1510,M,17
MN-1,2000,572,1660,M,16
MN-1,2000,577,1640,F,17
MN-1,2000,579,1600,F,19
MN-1,2000,622,1940,M,24
MN-1,2000,648,2460,M,16
MN-1,2000,683,2770,F,23
MN-1,2000,693,3680,F,23
MN-1,2000,290,176,UNK,6
MN-1,2000,356,360,F,9
MN-1,2000,373,470,F,10
MN-1,2000,376,390,M,10
MN-1,2000,384,410,F,9
MN-1,2000,386,400,F,9
MN-1,2000,389,370,F,10
MN-1,2000,389,430,F,10
MN-1,2000,396,510,M,11
MN-1,2000,399,460,M,10
MN-1,2000,417,570,F,10
MN-1,2000,419,650,M,12
MN-1,2000,432,670,M,11
MN-1,2000,437,570,F,13
MN-1,2000,437,750,M,11
MN-1,2000,450,770,M,13
MN-1,2000,485,880,M,13
MN-1,2000,488,870,M,17
MN-1,2000,498,920,F,18
MN-1,2000,498,1090,F,12
MN-1,2000,508,1020,F,15
MN-1,2000,531,1420,F,17
MN-1,2000,564,1720,M,16
MN-1,2000,569,1680,F,19
MN-1,2000,569,1740,M,15
