"species","site","age0","No","p","No.se","p.se","No.UCI","No.LCI"
"rainbow","A15","Age-1+",41,0.430379746835443,7.06908703841063,0.130270438648218,54.8554105952848,27.1445894047152
"rainbow","A9","Age-0",48,0.377551020408163,10.5593661157427,0.133434612801393,68.6963575868557,27.3036424131443
"rainbow","A10","Age-0",48,0.511904761904762,4.74480650378332,0.103672093324534,57.2998207474153,38.7001792525847
"rainbow","B1","Age-0",165,0.429936305732484,14.2188116899233,0.0649920290550073,192.86887091225,137.13112908775
"rainbow","B1","Age-1+",9,0.692307692307692,0.6902801350045,0.172570033751125,10.3529490646088,7.64705093539118
"rainbow","Bio1","Age-0",109,0.337662337662338,20.5620699772756,0.0961708615594827,149.30165715546,68.6983428445399
"rainbow","Bio1","Age-1+",31,0.473684210526316,4.76156530502163,0.138238992726434,40.3326679978424,21.6673320021576
"rainbow","Bio2","Age-0",930,0.26271186440678,102.158207813705,0.0391410757906918,1130.23008731486,729.769912685137
"rainbow","Bio2","Age-1+",31,0.518518518518518,3.66971537452589,0.127483908792463,38.1926421340707,23.8073578659293
"rainbow","Bio3","Age-0",252,0.280918727915194,46.3817395627897,0.0719033636605784,342.908209543068,161.091790456932
"rainbow","Bio3","Age-1+",11,0.647058823529412,1.01975569786819,0.169959282978032,12.9987211678217,9.00127883217834
"rainbow","Bio4","Age-0",341,0.422664624808576,21.3504560087295,0.0458374562132698,382.84689377711,299.15310622289
"rainbow","Bio4","Age-1+",46,0.426966292134831,7.64207435843693,0.123784665652431,60.9784657425364,31.0215342574636
"rainbow","Bio5","Age-0",145,0.417857142857143,14.3308269120617,0.0709416860042825,173.088420747641,116.911579252359
"rainbow","C4","Age-0",148,0.360655737704918,20.6341210886067,0.0786470311762556,188.442877333669,107.557122666331
"rainbow","C5","Age-0",124,0.33969465648855,21.6391536285818,0.0897764624717406,166.41274111202,81.5872588879797
"rainbow","C5","Age-1+",14,0.52,2.44504498001137,0.189199909167547,18.7922881608223,9.20771183917771
"brown","A9","Age-1+",3,0.75,0.265908011739155,0.265908011739155,3.52117970300874,2.47882029699126
"brown","Bio1","Age-1+",3,0.75,0.265908011739155,0.265908011739155,3.52117970300874,2.47882029699126
"brown","Bio2","Age-0",7,0.7,0.578327043416729,0.19277568113891,8.13352100509679,5.86647899490321
"brown","Bio2","Age-1+",2,1,0,NA,2,2
"brown","Bio3","Age-0",14,0.541666666666667,2.15629786505474,0.182025144452673,18.2263438155073,9.77365618449272
"brown","Bio4","Age-0",38,0.471428571428571,5.34174016131167,0.125375124696504,48.4698107161709,27.5301892838291
"brown","Bio4","Age-1+",24,0.58974358974359,2.13070573308082,0.127620395470987,28.1761832368384,19.8238167631616
"brown","Bio5","Age-0",140,0.713541666666667,2.35887656042766,0.0419696219192973,144.623398058438,135.376601941562
"brown","Bio5","Age-1+",24,0.705882352941177,1.02916813690791,0.102916813690791,26.0171695483395,21.9828304516605
"brown","C4","Age-0",4,0.8,0.205230517266296,0.205230517266296,4.40225181384194,3.59774818615806
"brown","C4","Age-1+",8,0.666666666666667,0.768706114785808,0.192176528696452,9.50666398498018,6.49333601501982
"brown","C5","Age-1+",13,0.8125,0.330790172473687,0.110263390824562,13.6483487380484,12.3516512619516
"rainbow","A9","Age-1+",15,0.323529411764706,8.38349287792362,0.267299772919304,31.4316460407303,-1.4316460407303
"rainbow","A10","Age-0",2,0.333333333333333,2.86639428833792,0.71659857208448,7.61813280514232,-3.61813280514232
"rainbow","Bio5","Age-1+",1,1,0,NA,1,1
"rainbow","C4","Age-1+",13,0.521739130434783,2.33247608851691,0.195732259176244,17.5716531334931,8.42834686650686
"rainbow","A15","Age-0",546,0.0948563794255177,487.434901829678,0.0935562981493241,1501.37240758617,-409.372407586168
"rainbow","B9","Age-0",192,0.380829015544041,20.6902446006224,0.0662802030223912,232.55287941722,151.44712058278
"rainbow","B9","Age-1+",17,0.232558139534884,17.5786984729999,0.31334578383244,51.4542490070797,-17.4542490070797
"brown","A10","Age-0",1,0.5,0.733799385705343,0.733799385705343,2.43824679598247,-0.438246795982472
"brown","A15","Age-1+",5,0.555555555555556,1.18860425835833,0.297151064589582,7.32966434638232,2.67033565361768
"brown","A9","Age-0",1,1,0,NA,1,1
"brown","B9","Age-1+",6,0.6,1.00241254874148,0.250603137185371,7.96472859553331,4.03527140446669
